estimator,est_error,shd,cpshd,f1score,sparsity,dag_rate,n,p,m,ne,s,graph_type,id
Contextual DAG,1.0747475924988519,18.67,18.57,0.015417682798545131,10.12,1.0,100,20,2,10,1,erdos-renyi,1
Fixed DAG,0.9955404993465433,8.0,9.0,0.35294117647058826,7.0,1.0,100,20,2,10,1,erdos-renyi,1
Sorted DAG (fixed),1.0206081890765564,17.76,18.4,0.1153462443265441,12.25,1.0,100,20,2,10,1,erdos-renyi,1
Sorted DAG (truth),0.9643343488353692,18.4,19.46,0.15606261324776002,12.74,1.0,100,20,2,10,1,erdos-renyi,1
Clustered DAG,0.9955404993465433,8.0,9.0,0.35294117647058826,7.0,1.0,100,20,2,10,1,erdos-renyi,1
Contextual DAG,0.9186969155079976,12.08860759493671,11.984177215189874,0.24441294530792657,9.484177215189874,1.0,316,20,2,10,1,erdos-renyi,1
Fixed DAG,0.43393874967309526,1.0,1.0,0.9523809523809528,11.0,1.0,316,20,2,10,1,erdos-renyi,1
Sorted DAG (fixed),0.788577545968981,8.417721518987342,9.360759493670885,0.4484717299214239,7.39873417721519,1.0,316,20,2,10,1,erdos-renyi,1
Sorted DAG (truth),0.7695732618172736,9.936708860759493,10.977848101265822,0.4414664557997385,9.30379746835443,1.0,316,20,2,10,1,erdos-renyi,1
Clustered DAG,0.8188354115977938,8.734177215189874,9.69620253164557,0.4714596233583576,8.734177215189874,1.0,316,20,2,10,1,erdos-renyi,1
Contextual DAG,0.6831407523831111,4.994,5.023,0.6667421423655333,9.148,1.0,1000,20,2,10,1,erdos-renyi,1
Fixed DAG,0.5309676688380338,1.0,2.0,0.8999999999999989,10.0,1.0,1000,20,2,10,1,erdos-renyi,1
Sorted DAG (fixed),0.5780908920875739,5.394,7.062,0.7188170386165588,11.158,1.0,1000,20,2,10,1,erdos-renyi,1
Sorted DAG (truth),0.5828832527940224,3.722,4.416,0.7483303968442072,8.794,1.0,1000,20,2,10,1,erdos-renyi,1
Clustered DAG,0.749359375988637,7.657,7.755,0.48259680381687364,8.792,1.0,1000,20,2,10,1,erdos-renyi,1
Contextual DAG,0.5811681018054753,2.0746363061353574,2.1973434535104364,0.8314184698781203,10.089184060721063,1.0,3162,20,2,10,1,erdos-renyi,1
Fixed DAG,0.4634428387607388,0.0,0.0,1.0,10.0,1.0,3162,20,2,10,1,erdos-renyi,1
Sorted DAG (fixed),0.5418298538856187,0.5224541429475016,0.777988614800759,0.9737176643281314,9.93674889310563,1.0,3162,20,2,10,1,erdos-renyi,1
Sorted DAG (truth),0.44479640837871304,0.6862745098039216,0.9901960784313726,0.969400229263132,10.552182163187856,1.0,3162,20,2,10,1,erdos-renyi,1
Clustered DAG,0.6935700880136584,7.673624288425048,8.311195445920303,0.5546497679464465,10.209361163820367,1.0,3162,20,2,10,1,erdos-renyi,1
Contextual DAG,0.4602868804589309,1.9157,1.7816,0.8084593483709274,9.9996,1.0,10000,20,2,10,1,erdos-renyi,1
Fixed DAG,0.4486472190347516,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,1
Sorted DAG (fixed),0.23393378065317222,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,1
Sorted DAG (truth),0.3000374225265303,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,1
Clustered DAG,0.7823729872918953,8.6319,8.7301,0.4611316243847239,9.7215,1.0,10000,20,2,10,1,erdos-renyi,1
Contextual DAG,1.1139046568745123,16.31,16.43,0.04635189642856355,7.87,1.0,100,20,5,10,1,erdos-renyi,1
Fixed DAG,0.8426720850938391,10.0,9.0,0.36363636363636376,12.0,1.0,100,20,5,10,1,erdos-renyi,1
Sorted DAG (fixed),1.0275950138163237,18.72,18.71,0.1053632065206303,12.92,1.0,100,20,5,10,1,erdos-renyi,1
Sorted DAG (truth),1.0878580273770493,18.4,18.72,0.1014201363101659,11.0,1.0,100,20,5,10,1,erdos-renyi,1
Clustered DAG,0.8426720850938391,10.0,9.0,0.36363636363636376,12.0,1.0,100,20,5,10,1,erdos-renyi,1
Contextual DAG,0.9786897189709237,12.534810126582279,12.819620253164556,0.1968946709873925,7.737341772151899,1.0,316,20,5,10,1,erdos-renyi,1
Fixed DAG,0.503553301852685,2.0,0.0,0.8000000000000006,10.0,1.0,316,20,5,10,1,erdos-renyi,1
Sorted DAG (fixed),0.8535861913210685,10.050632911392405,10.841772151898734,0.3660932460409094,7.8955696202531644,1.0,316,20,5,10,1,erdos-renyi,1
Sorted DAG (truth),0.7899623015142799,9.468354430379748,11.310126582278482,0.4782641109100854,9.082278481012658,1.0,316,20,5,10,1,erdos-renyi,1
Clustered DAG,0.7120427814397368,9.373417721518987,10.10759493670886,0.5237463912946924,10.126582278481013,1.0,316,20,5,10,1,erdos-renyi,1
Contextual DAG,0.7689619082262491,7.077,7.497,0.5179223926804267,10.58,1.0,1000,20,5,10,1,erdos-renyi,1
Fixed DAG,0.46325765684835435,1.0,0.0,0.8999999999999989,10.0,1.0,1000,20,5,10,1,erdos-renyi,1
Sorted DAG (fixed),0.6151497064588373,4.504,4.415,0.7260737045986477,10.404,1.0,1000,20,5,10,1,erdos-renyi,1
Sorted DAG (truth),0.7080607608174487,6.415,7.36,0.6244600913434607,8.147,1.0,1000,20,5,10,1,erdos-renyi,1
Clustered DAG,0.6886934422621771,6.083,6.838,0.6034047471620225,8.616,1.0,1000,20,5,10,1,erdos-renyi,1
Contextual DAG,0.782254402646184,5.122707147375079,5.147375079063884,0.5446401132546325,9.49146110056926,1.0,3162,20,5,10,1,erdos-renyi,1
Fixed DAG,0.48804252202071124,0.0,0.0,1.0,10.0,1.0,3162,20,5,10,1,erdos-renyi,1
Sorted DAG (fixed),0.4564646509906781,1.1438962681846931,1.4430740037950665,0.9397352289846709,10.240037950664137,1.0,3162,20,5,10,1,erdos-renyi,1
Sorted DAG (truth),0.42103743296437723,0.8444022770398482,1.038583175205566,0.9524173024723493,10.086021505376344,1.0,3162,20,5,10,1,erdos-renyi,1
Clustered DAG,0.7697624045136463,7.879506641366224,8.611954459203035,0.476940614314822,8.81404174573055,1.0,3162,20,5,10,1,erdos-renyi,1
Contextual DAG,0.6935293908734349,3.1308,3.5974,0.7341683367562553,9.7237,1.0,10000,20,5,10,1,erdos-renyi,1
Fixed DAG,0.5916941641274215,2.0,3.0,0.8000000000000006,10.0,1.0,10000,20,5,10,1,erdos-renyi,1
Sorted DAG (fixed),0.5504407727952159,2.2259,3.2519,0.7894651820994429,10.0164,1.0,10000,20,5,10,1,erdos-renyi,1
Sorted DAG (truth),0.5321870537352633,0.4998,0.6428,0.9718249348348763,9.9688,1.0,10000,20,5,10,1,erdos-renyi,1
Clustered DAG,0.7468930775193554,7.6821,8.5191,0.49931545667539723,9.3978,1.0,10000,20,5,10,1,erdos-renyi,1
Contextual DAG,1.020410601053186,13.92,14.44,0.06803521865384231,6.42,1.0,100,20,2,10,1,erdos-renyi,2
Fixed DAG,0.6412577399262254,5.0,10.0,0.6666666666666667,8.0,1.0,100,20,2,10,1,erdos-renyi,2
Sorted DAG (fixed),0.9699130846889994,14.54,15.35,0.16174850011085837,8.12,1.0,100,20,2,10,1,erdos-renyi,2
Sorted DAG (truth),0.9317653636631993,12.46,13.33,0.20966177574474912,6.74,1.0,100,20,2,10,1,erdos-renyi,2
Clustered DAG,0.6412577399262254,5.0,10.0,0.6666666666666667,8.0,1.0,100,20,2,10,1,erdos-renyi,2
Contextual DAG,0.8734798048818538,12.984177215189874,13.89873417721519,0.30751009036897786,10.933544303797468,1.0,316,20,2,10,1,erdos-renyi,2
Fixed DAG,0.49832314086920665,1.0,4.0,0.8999999999999994,10.0,1.0,316,20,2,10,1,erdos-renyi,2
Sorted DAG (fixed),0.8561748760320905,9.990506329113924,11.044303797468354,0.3473032521262692,7.256329113924051,1.0,316,20,2,10,1,erdos-renyi,2
Sorted DAG (truth),0.8156840793234124,10.164556962025317,11.443037974683545,0.41943166995680475,8.924050632911392,1.0,316,20,2,10,1,erdos-renyi,2
Clustered DAG,0.8628384728326759,10.170886075949367,11.664556962025317,0.35095143542649115,9.379746835443038,1.0,316,20,2,10,1,erdos-renyi,2
Contextual DAG,0.7749360148077183,8.596,8.855,0.47041338693943213,11.397,1.0,1000,20,2,10,1,erdos-renyi,2
Fixed DAG,0.5185402909360943,1.0,1.0,0.8999999999999989,10.0,1.0,1000,20,2,10,1,erdos-renyi,2
Sorted DAG (fixed),0.6461193907983515,5.175,5.817,0.6797076604511649,10.191,1.0,1000,20,2,10,1,erdos-renyi,2
Sorted DAG (truth),0.6019111777391428,3.67,4.979,0.8180854356433418,10.03,1.0,1000,20,2,10,1,erdos-renyi,2
Clustered DAG,0.8092902582609652,9.408,10.16,0.3962094554568241,9.287,1.0,1000,20,2,10,1,erdos-renyi,2
Contextual DAG,0.6742220096584137,2.903225806451613,1.9345351043643264,0.7525924230874391,9.811195445920303,1.0,3162,20,2,10,1,erdos-renyi,2
Fixed DAG,0.5011344801317597,1.0,0.0,0.8999999999999992,10.0,1.0,3162,20,2,10,1,erdos-renyi,2
Sorted DAG (fixed),0.6565783715372007,1.8703352308665402,1.2343453510436433,0.8631668638398747,9.959519291587602,1.0,3162,20,2,10,1,erdos-renyi,2
Sorted DAG (truth),0.564461389955979,0.7640733712839974,1.0683111954459203,0.9642273762202633,10.29348513598988,1.0,3162,20,2,10,1,erdos-renyi,2
Clustered DAG,0.7666175047084902,8.216318785578748,8.315306767868437,0.4883101528776728,9.4775458570525,1.0,3162,20,2,10,1,erdos-renyi,2
Contextual DAG,0.19576143000790078,0.003,0.0034,0.9998436090225565,9.9976,1.0,10000,20,2,10,1,erdos-renyi,2
Fixed DAG,0.49586362123567274,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,2
Sorted DAG (fixed),0.2368425162790723,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,2
Sorted DAG (truth),0.37624383102269054,0.0001,0.0001,0.9999952380952382,10.0001,1.0,10000,20,2,10,1,erdos-renyi,2
Clustered DAG,0.7542581605750469,7.9337,8.1683,0.49463984526708554,9.1367,1.0,10000,20,2,10,1,erdos-renyi,2
Contextual DAG,1.0761208172392192,19.4,19.85,0.07980305657691558,13.38,1.0,100,20,5,10,1,erdos-renyi,2
Fixed DAG,0.5812757799781322,4.0,3.0,0.736842105263158,9.0,1.0,100,20,5,10,1,erdos-renyi,2
Sorted DAG (fixed),1.0251155729104298,20.18,20.66,0.13159008709077083,13.91,1.0,100,20,5,10,1,erdos-renyi,2
Sorted DAG (truth),0.9929332294898073,19.14,20.04,0.1529000224837782,13.32,1.0,100,20,5,10,1,erdos-renyi,2
Clustered DAG,0.5812757799781322,4.0,3.0,0.736842105263158,9.0,1.0,100,20,5,10,1,erdos-renyi,2
Contextual DAG,0.9479117319605543,11.933544303797468,11.80379746835443,0.20648801474027265,6.9145569620253164,1.0,316,20,5,10,1,erdos-renyi,2
Fixed DAG,0.4881296346159285,1.0,0.0,0.8999999999999994,10.0,1.0,316,20,5,10,1,erdos-renyi,2
Sorted DAG (fixed),0.845375415533234,10.401898734177216,11.19620253164557,0.39404999220906334,8.354430379746836,1.0,316,20,5,10,1,erdos-renyi,2
Sorted DAG (truth),0.8011993822020202,7.8924050632911396,8.882911392405063,0.5032954196545496,7.531645569620253,1.0,316,20,5,10,1,erdos-renyi,2
Clustered DAG,0.7578455924040948,8.08860759493671,8.05379746835443,0.4812608587738895,7.753164556962025,1.0,316,20,5,10,1,erdos-renyi,2
Contextual DAG,0.8164987320888067,6.714,6.932,0.4837524045462147,8.315,1.0,1000,20,5,10,1,erdos-renyi,2
Fixed DAG,0.524565071199203,2.0,0.0,0.7999999999999989,10.0,1.0,1000,20,5,10,1,erdos-renyi,2
Sorted DAG (fixed),0.7829721744073916,7.873,7.784,0.5078447083841018,8.872,1.0,1000,20,5,10,1,erdos-renyi,2
Sorted DAG (truth),0.5793500931230812,5.539,6.402,0.7497097538709396,11.527,1.0,1000,20,5,10,1,erdos-renyi,2
Clustered DAG,0.7370363260018271,8.112,7.85,0.4964477316479606,9.738,1.0,1000,20,5,10,1,erdos-renyi,2
Contextual DAG,0.680261710927238,3.948134092346616,5.140417457305503,0.6483050742405027,9.720746363061354,1.0,3162,20,5,10,1,erdos-renyi,2
Fixed DAG,0.7015053176029645,4.0,3.0,0.6000000000000008,10.0,1.0,3162,20,5,10,1,erdos-renyi,2
Sorted DAG (fixed),0.7250807531818727,5.1676154332700825,4.4291587602783045,0.5601733491286298,10.419038583175206,1.0,3162,20,5,10,1,erdos-renyi,2
Sorted DAG (truth),0.4525480572493989,0.8453510436432637,1.0442757748260594,0.9459401392231166,9.744781783681214,1.0,3162,20,5,10,1,erdos-renyi,2
Clustered DAG,0.7962726262099615,8.776091081593927,9.279569892473118,0.42887514314886677,9.58191018342821,1.0,3162,20,5,10,1,erdos-renyi,2
Contextual DAG,0.6124312635075856,2.1844,1.1578,0.8034897751767416,10.1031,1.0,10000,20,5,10,1,erdos-renyi,2
Fixed DAG,0.49213960405468143,0.0,0.0,1.0,10.0,1.0,10000,20,5,10,1,erdos-renyi,2
Sorted DAG (fixed),0.4943831681165237,0.3195,0.3698,0.9802494340970097,9.9047,1.0,10000,20,5,10,1,erdos-renyi,2
Sorted DAG (truth),0.4221820605539953,0.2538,0.3135,0.9856518603719981,10.0466,1.0,10000,20,5,10,1,erdos-renyi,2
Clustered DAG,0.7501900734764483,7.8016,8.0814,0.508339163085871,9.3911,1.0,10000,20,5,10,1,erdos-renyi,2
Contextual DAG,1.0366853792365898,17.84,18.03,0.0737583211334086,10.79,1.0,100,20,2,10,1,erdos-renyi,3
Fixed DAG,0.9079627248587148,11.0,13.0,0.3157894736842105,9.0,1.0,100,20,2,10,1,erdos-renyi,3
Sorted DAG (fixed),1.0611564970775647,20.99,21.54,0.06709310586190313,13.95,1.0,100,20,2,10,1,erdos-renyi,3
Sorted DAG (truth),1.013355372143684,17.9,18.96,0.13719693053960638,11.44,1.0,100,20,2,10,1,erdos-renyi,3
Clustered DAG,0.9079627248587148,11.0,13.0,0.3157894736842105,9.0,1.0,100,20,2,10,1,erdos-renyi,3
Contextual DAG,0.8698692010769205,12.329113924050633,14.151898734177216,0.30234848715456286,10.414556962025317,1.0,316,20,2,10,1,erdos-renyi,3
Fixed DAG,0.5167304045963972,0.0,0.0,1.0,10.0,1.0,316,20,2,10,1,erdos-renyi,3
Sorted DAG (fixed),0.8016572964818328,11.35759493670886,12.813291139240507,0.41371546956015676,10.914556962025317,1.0,316,20,2,10,1,erdos-renyi,3
Sorted DAG (truth),0.8053256838685652,12.45253164556962,13.95253164556962,0.4216855577965808,13.123417721518987,1.0,316,20,2,10,1,erdos-renyi,3
Clustered DAG,0.8260084711602473,10.512658227848101,12.291139240506329,0.3918784981135572,9.386075949367088,1.0,316,20,2,10,1,erdos-renyi,3
Contextual DAG,0.723560795898606,6.888,6.658,0.5640923829171615,10.252,1.0,1000,20,2,10,1,erdos-renyi,3
Fixed DAG,0.5042691576825615,1.0,0.0,0.8999999999999989,10.0,1.0,1000,20,2,10,1,erdos-renyi,3
Sorted DAG (fixed),0.6870019789465567,5.861,6.052,0.6174018646925709,8.565,1.0,1000,20,2,10,1,erdos-renyi,3
Sorted DAG (truth),0.6598472461158834,5.249,5.877,0.6651449492809517,8.385,1.0,1000,20,2,10,1,erdos-renyi,3
Clustered DAG,0.7839911173837357,8.254,8.078,0.43397208931419456,8.876,1.0,1000,20,2,10,1,erdos-renyi,3
Contextual DAG,0.7121206887296292,2.2450980392156863,1.1771030993042377,0.8153992117707444,9.780834914611006,1.0,3162,20,2,10,1,erdos-renyi,3
Fixed DAG,0.5623897423441822,1.0,0.0,0.8999999999999992,10.0,1.0,3162,20,2,10,1,erdos-renyi,3
Sorted DAG (fixed),0.5197212015915929,1.2036685641998734,0.38425047438330173,0.895451581482458,10.059456040480708,1.0,3162,20,2,10,1,erdos-renyi,3
Sorted DAG (truth),0.43826531589335055,0.3709677419354839,0.5218216318785579,0.982650227811735,10.215370018975332,1.0,3162,20,2,10,1,erdos-renyi,3
Clustered DAG,0.7625510727564859,8.573687539531942,9.021189120809614,0.47121613981836985,9.895319418089816,1.0,3162,20,2,10,1,erdos-renyi,3
Contextual DAG,0.37704715403892214,1.5925,0.4706,0.8408094736842097,9.9985,1.0,10000,20,2,10,1,erdos-renyi,3
Fixed DAG,0.4228874190368826,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,3
Sorted DAG (fixed),0.27161683806296694,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,3
Sorted DAG (truth),0.2896066856418442,0.0,0.0,1.0,10.0,1.0,10000,20,2,10,1,erdos-renyi,3
Clustered DAG,0.7926398623665076,8.4357,8.5605,0.43430503401221804,9.4048,1.0,10000,20,2,10,1,erdos-renyi,3
Contextual DAG,1.04504882630634,18.32,18.47,0.058596740339339835,10.56,1.0,100,20,5,10,1,erdos-renyi,3
Fixed DAG,0.6628834272880378,10.0,13.0,0.5,10.0,1.0,100,20,5,10,1,erdos-renyi,3
Sorted DAG (fixed),0.9983797198542067,18.01,19.12,0.14135402699644636,11.61,1.0,100,20,5,10,1,erdos-renyi,3
Sorted DAG (truth),1.0308602075162483,17.24,17.81,0.10317191445321044,9.54,1.0,100,20,5,10,1,erdos-renyi,3
Clustered DAG,0.6628834272880378,10.0,13.0,0.5,10.0,1.0,100,20,5,10,1,erdos-renyi,3
Contextual DAG,0.9889649718456459,12.117088607594937,11.651898734177216,0.15328086148030043,7.655063291139241,1.0,316,20,5,10,1,erdos-renyi,3
Fixed DAG,0.5308856345499503,2.0,0.0,0.8000000000000006,10.0,1.0,316,20,5,10,1,erdos-renyi,3
Sorted DAG (fixed),0.8580762365213674,10.018987341772151,10.822784810126583,0.35176303077915566,6.844936708860759,1.0,316,20,5,10,1,erdos-renyi,3
Sorted DAG (truth),0.8716722674486604,10.854430379746836,11.89240506329114,0.3772642395766785,8.253164556962025,1.0,316,20,5,10,1,erdos-renyi,3
Clustered DAG,0.8009228753668346,9.29746835443038,9.54746835443038,0.4072557292959378,8.768987341772151,1.0,316,20,5,10,1,erdos-renyi,3
Contextual DAG,0.8623334127806374,9.499,10.317,0.39198859661144475,11.153,1.0,1000,20,5,10,1,erdos-renyi,3
Fixed DAG,0.6920586160169905,4.0,6.0,0.6000000000000009,10.0,1.0,1000,20,5,10,1,erdos-renyi,3
Sorted DAG (fixed),0.8221950423737101,6.759,8.293,0.4802271893376298,8.731,1.0,1000,20,5,10,1,erdos-renyi,3
Sorted DAG (truth),0.6414058495697663,4.554,5.602,0.7564366394954529,9.852,1.0,1000,20,5,10,1,erdos-renyi,3
Clustered DAG,0.8497699889580456,9.643,10.229,0.40550265637355404,9.926,1.0,1000,20,5,10,1,erdos-renyi,3
Contextual DAG,0.5839981088028223,3.0192915876027833,3.252055660974067,0.7700941587252402,9.896900695762175,1.0,3162,20,5,10,1,erdos-renyi,3
Fixed DAG,0.39534762872678286,0.0,0.0,1.0,10.0,1.0,3162,20,5,10,1,erdos-renyi,3
Sorted DAG (fixed),0.44362294605572566,0.9930423782416192,1.4278937381404175,0.9433505056253821,9.87033523086654,1.0,3162,20,5,10,1,erdos-renyi,3
Sorted DAG (truth),0.3682049463676523,0.6148007590132827,0.8972169512966477,0.9652159335828906,10.070841239721695,1.0,3162,20,5,10,1,erdos-renyi,3
Clustered DAG,0.6885112084988607,7.124288425047438,7.954775458570525,0.5791744205755802,9.629981024667932,1.0,3162,20,5,10,1,erdos-renyi,3
Contextual DAG,0.6837177719753135,3.3817,3.8956,0.7258437115441131,9.8335,1.0,10000,20,5,10,1,erdos-renyi,3
Fixed DAG,0.46560360538807416,1.0,2.0,0.8999999999999987,10.0,1.0,10000,20,5,10,1,erdos-renyi,3
Sorted DAG (fixed),0.6248128102649647,1.4962,2.5035,0.8718047106216865,9.8699,1.0,10000,20,5,10,1,erdos-renyi,3
Sorted DAG (truth),0.5286932881326016,0.4113,0.5618,0.9756823220282406,9.8609,1.0,10000,20,5,10,1,erdos-renyi,3
Clustered DAG,0.7820315510689827,8.2336,8.5617,0.45662224868291407,9.5211,1.0,10000,20,5,10,1,erdos-renyi,3
Contextual DAG,1.0192180269662205,17.04,17.75,0.14975083007356071,11.29,1.0,100,20,2,10,1,erdos-renyi,4
Fixed DAG,0.5902047985348863,8.0,9.0,0.5714285714285713,11.0,1.0,100,20,2,10,1,erdos-renyi,4
Sorted DAG (fixed),0.9650851771891502,15.88,16.48,0.19046318629773695,10.74,1.0,100,20,2,10,1,erdos-renyi,4
Sorted DAG (truth),0.9101460282047826,14.68,15.74,0.28467046723824546,11.22,1.0,100,20,2,10,1,erdos-renyi,4
Clustered DAG,0.5902047985348863,8.0,9.0,0.5714285714285713,11.0,1.0,100,20,2,10,1,erdos-renyi,4
Contextual DAG,0.8619373303293939,9.224683544303797,9.89240506329114,0.3273445920265875,6.6835443037974684,1.0,316,20,2,10,1,erdos-renyi,4
Fixed DAG,0.3142704933799066,0.0,0.0,1.0,10.0,1.0,316,20,2,10,1,erdos-renyi,4
Sorted DAG (fixed),0.7746211295374047,6.746835443037975,7.199367088607595,0.532350669580072,6.658227848101266,1.0,316,20,2,10,1,erdos-renyi,4
Sorted DAG (truth),0.6840931785822697,8.848101265822784,9.863924050632912,0.5612927955226246,11.341772151898734,1.0,316,20,2,10,1,erdos-renyi,4
Clustered DAG,0.6905931833860292,7.9905063291139244,8.253164556962025,0.5508615171584956,9.094936708860759,1.0,316,20,2,10,1,erdos-renyi,4
Contextual DAG,0.8696117965096273,7.727,8.259,0.38310935017156106,9.121,1.0,1000,20,2,10,1,erdos-renyi,4
Fixed DAG,0.6302865263672078,3.0,2.0,0.7000000000000007,10.0,1.0,1000,20,2,10,1,erdos-renyi,4
Sorted DAG (fixed),0.7268597096075795,6.68,6.613,0.5451932229705566,10.599,1.0,1000,20,2,10,1,erdos-renyi,4
Sorted DAG (truth),0.5502203307942124,3.77,4.261,0.8069359761125209,10.122,1.0,1000,20,2,10,1,erdos-renyi,4
Clustered DAG,0.8425998196917146,8.886,8.709,0.3728742880606928,9.552,1.0,1000,20,2,10,1,erdos-renyi,4
Contextual DAG,0.5943336718023636,2.521189120809614,4.031941808981657,0.7667334073396408,9.983554712207464,1.0,3162,20,2,10,1,erdos-renyi,4
